region	utbildningsnivå	år	Befolkning 16-95+ år
21 Gävleborgs län	gymnasial utbildning, 3 år	2019	54800
21 Gävleborgs län	eftergymnasial utbildning, mindre än 3 år	2019	28065
21 Gävleborgs län	eftergymnasial utbildning, 3 år eller mer	2019	34402
21 Gävleborgs län	forskarutbildning	2019	859
21 Gävleborgs län	uppgift om utbildningsnivå saknas	2019	4095
22 Västernorrlands län	förgymnasial utbildning kortare än 9 år	2019	15732
22 Västernorrlands län	förgymnasial utbildning, 9 (10) år	2019	26610
22 Västernorrlands län	gymnasial utbildning, högst 2 år	2019	51420
22 Västernorrlands län	gymnasial utbildning, 3 år	2019	45477
22 Västernorrlands län	eftergymnasial utbildning, mindre än 3 år	2019	25768
22 Västernorrlands län	eftergymnasial utbildning, 3 år eller mer	2019	32358
22 Västernorrlands län	forskarutbildning	2019	813
22 Västernorrlands län	uppgift om utbildningsnivå saknas	2019	3415
23 Jämtlands län	förgymnasial utbildning kortare än 9 år	2019	7713
23 Jämtlands län	förgymnasial utbildning, 9 (10) år	2019	12675
23 Jämtlands län	gymnasial utbildning, högst 2 år	2019	26325
23 Jämtlands län	gymnasial utbildning, 3 år	2019	26089
23 Jämtlands län	eftergymnasial utbildning, mindre än 3 år	2019	13409
23 Jämtlands län	eftergymnasial utbildning, 3 år eller mer	2019	18533
23 Jämtlands län	forskarutbildning	2019	477
23 Jämtlands län	uppgift om utbildningsnivå saknas	2019	1941
24 Västerbottens län	förgymnasial utbildning kortare än 9 år	2019	13526
24 Västerbottens län	förgymnasial utbildning, 9 (10) år	2019	23177
24 Västerbottens län	gymnasial utbildning, högst 2 år	2019	49340
24 Västerbottens län	gymnasial utbildning, 3 år	2019	50793
24 Västerbottens län	eftergymnasial utbildning, mindre än 3 år	2019	31488
24 Västerbottens län	eftergymnasial utbildning, 3 år eller mer	2019	46612
24 Västerbottens län	forskarutbildning	2019	3884
24 Västerbottens län	uppgift om utbildningsnivå saknas	2019	4265
25 Norrbottens län	förgymnasial utbildning kortare än 9 år	2019	13782
25 Norrbottens län	förgymnasial utbildning, 9 (10) år	2019	23128
25 Norrbottens län	gymnasial utbildning, högst 2 år	2019	54980
25 Norrbottens län	gymnasial utbildning, 3 år	2019	51345
25 Norrbottens län	eftergymnasial utbildning, mindre än 3 år	2019	26034
25 Norrbottens län	eftergymnasial utbildning, 3 år eller mer	2019	34536
25 Norrbottens län	forskarutbildning	2019	1476
25 Norrbottens län	uppgift om utbildningsnivå saknas	2019	3519
